user_id,anime_watched_amount,watching_status_median
50033,172,2.0
50043,463,2.0
50134,117,2.0
50148,64,6.0
50190,403,2.0
50359,475,2.0
50390,438,2.0
50445,41,2.0
50489,370,2.0
50626,377,2.0
50643,179,3.0
50659,17,2.0
50754,471,3.0
50768,250,2.0
50831,389,2.0
50938,222,2.0
50992,189,2.0
51063,41,2.0
51124,549,2.0
51169,252,2.0
51192,1396,6.0
51279,329,2.0
51354,1032,2.0
51414,294,3.5
51435,322,2.0
51437,37,2.0
51540,108,2.0
51754,16,2.0
51816,749,2.0
51830,732,2.0
51866,241,2.0
52019,2390,2.0
52058,9,2.0
52084,1458,2.0
52126,486,2.0
52290,119,2.0
52299,219,2.0
52315,717,3.0
52410,493,2.0
52423,144,2.0
52529,157,2.0
52605,107,6.0
52620,241,2.0
52758,991,2.0
52913,361,2.0
52917,313,2.0
52936,286,2.0
53121,2,3.5
53240,158,2.0
53285,230,2.0
53391,20,2.0
53402,228,3.5
53448,103,2.0
53459,2,2.0
53477,943,2.0
53566,2144,2.0
53592,286,6.0
53601,270,6.0
53616,200,2.0
53918,650,2.0
54162,192,2.0
54172,506,2.0
54179,169,2.0
54190,103,2.0
54219,553,2.0
54229,722,2.0
54253,281,2.0
54310,1178,6.0
54386,852,2.0
54397,353,2.0
54438,238,2.0
54451,71,2.0
54492,166,2.0
54938,898,2.0
54949,575,2.0
54954,56,2.0
54997,238,2.0
55006,126,2.0
55027,133,2.0
55099,9,2.0
55105,430,6.0
55129,1168,6.0
55154,212,4.0
55220,371,2.0
55301,213,6.0
55305,204,2.0
55392,368,6.0
55500,5117,6.0
55566,66,2.0
55571,534,2.0
55604,353,2.0
56019,191,2.0
56051,244,2.0
56058,182,2.0
56276,152,2.0
56280,118,2.0
56299,3,2.0
56441,2964,6.0
56443,379,2.0
56520,6,2.0
56555,295,6.0
56696,51,2.0
56970,369,2.0
56973,452,2.0
57116,253,2.0
57126,259,6.0
57178,403,2.0
57364,246,6.0
57392,107,6.0
57431,107,2.0
57609,148,2.0
57681,1168,2.0
57721,1061,2.0
57737,15,1.0
57811,1268,6.0
57868,212,2.0
57987,25,2.0
58069,15,6.0
58084,154,2.0
58121,1944,2.0
58125,146,2.0
58190,40,6.0
58202,252,2.0
58210,8,2.0
58268,366,2.0
58294,161,2.0
58311,157,2.0
58435,1257,2.0
58438,266,6.0
58491,55,2.0
58534,61,6.0
58629,304,2.0
